Price,Open,High,Low,Change %
1426,1433.4,1433.4,1433.4,0.0048
1419.1,1460.1,1460.1,1442,-0.0048
1395,1413.5,1413.5,1405.3,-0.017
1343.7,1392.4,1392.4,1353.7,-0.0368
1309.8,1327,1327,1301.9,-0.0252
1277.7,1308,1308,1265.8,-0.0245
1268.7,1266.1,1271.9,1260,-0.007
1288.2,1271.2,1296.7,1271.2,0.0154
1292.7,1289.7,1289.7,1289.7,0.0035
1347.1,1313.9,1343,1309.5,0.0421
1384,1351.8,1377.6,1351.8,0.0274
1375.3,1382.6,1388,1374,-0.0063
1350.4,1350,1368.2,1342.2,-0.0181
1340.4,1342.7,1363.9,1323.8,-0.0074
1357.5,1334.2,1350.2,1320.1,0.0128
1452.9,1373.1,1422.6,1373.1,0.0703
1473.3,1444.5,1474.2,1444.5,0.014
1563.1,1450.2,1582.4,1450.2,0.061
1514.5,1575.8,1575.8,1536.7,-0.0311
1556.9,1548.8,1556.7,1548.8,0.028
1510.7,1534.7,1534.7,1534.7,-0.0297
1567.6,1515.9,1544.2,1497.2,0.0377
1626.1,1595,1595,1595,0.0373
1596.6,1606,1707.4,1595.2,-0.0181
1606.7,1485,1503,1485,0.0063
1713.2,1747.5,1779.1,1709.5,0.0663
1776.8,1720.1,1795.4,1720.1,0.0371
1836.5,1774.5,1835,1727.5,0.0336
2026.9,1830,2035,1830,0.1037
2009.5,2098.5,2121.7,1958.3,-0.0086
1922.7,1962,1980,1919.4,-0.0432
1908.3,1918.1,1939.9,1900.5,-0.0075
1797.2,1920.9,1975.1,1788,-0.0582
1914,1826.8,1913.9,1826.8,0.065
1859.5,1934.7,1979.9,1825.5,-0.0285
1740.9,1870,1875.9,1730,-0.0638
1722.4,1759.5,1759.5,1686.1,-0.0106
1775.7,1717.9,1804.5,1717.9,0.0309
1911,1784.6,1916.4,1783.8,0.0762
1777.7,1915,1922.8,1757.6,-0.0698
1819.1,1776,1840.3,1775,0.0233
1820.1,1818.6,1837.4,1680,0.0005
1758.5,1818.6,1838.7,1723.7,-0.0338
1785.9,1759.1,1817.5,1747.9,0.0156
1776.5,1786.8,1881.9,1761,-0.0053
1779.35,1775.15,1794.4,1762.3,0.0016
